ast,blk,dreb,fg3a,fg3m,fg_pct,fga,fgm,fta,ftm,id,pf,pts,reb,stl,turnover,game_id,home_team_id,home_team_score,visitor_team_id,visitor_team_score,season,player_id,team_id,team_score,min_played,eFG%,TS%,oreb,PER
1,0,2,3,0,0.286,7,2,0,0,522179,1,4,2,0,0,22985,26,96,25,117,2008,1091,26,96,17.0,28.57142857142857,28.57142857142857,0,0.38235294117647056
3,1,2,0,0,0.667,3,2,0,0,739400,0,4,2,0,0,32566,2,95,6,103,2014,1599,2,95,22.433333333333334,66.66666666666666,66.66666666666666,0,0.6463595839524517
4,0,3,0,0,0.538,13,7,3,2,772410,3,16,3,1,1,32785,2,98,16,88,2015,451,2,98,29.05,53.84615384615385,55.865921787709496,0,0.8261617900172116
3,0,1,4,2,0.4,15,6,5,5,788742,4,19,1,0,1,34967,3,86,27,112,2016,2160,3,86,28.55,46.666666666666664,55.23255813953488,0,0.5779334500875657
2,0,2,2,1,0.429,7,3,0,0,821578,4,7,2,0,1,35479,21,124,28,107,2017,223,28,107,26.516666666666666,50.0,50.0,0,0.4148334380892521
0,0,3,5,1,0.357,14,5,4,4,837888,0,15,3,0,3,33709,7,115,25,109,2017,30,7,115,33.68333333333333,39.285714285714285,47.588832487309645,0,0.3562592775853538
1,1,0,0,0,0.0,3,0,4,2,860809,2,2,0,0,1,36949,26,100,24,127,1980,2446,26,100,10.0,0.0,21.008403361344538,0,-0.15000000000000002
2,0,5,1,0,0.636,11,7,12,10,1129786,5,24,10,2,5,48767,18,130,13,120,2018,447,18,130,27.0,63.63636363636363,73.71007371007371,5,1.7777777777777777
0,0,2,0,0,0.714,7,5,3,2,964894,4,12,4,0,3,40638,13,120,7,118,1985,2252,13,120,22.0,71.42857142857143,72.11538461538461,2,0.8181818181818182
0,0,0,0,0,0.667,3,2,0,0,522056,0,4,1,0,1,21574,2,98,9,80,2008,1679,2,98,6.0,66.66666666666666,66.66666666666666,1,0.8333333333333333
1,1,3,0,0,0.368,19,7,7,7,522150,4,21,4,0,1,22984,18,78,2,95,2008,1553,18,78,32.0,36.84210526315789,47.55434782608696,1,0.703125
3,2,5,0,0,0.333,3,1,4,2,537344,2,4,6,1,2,21216,25,108,1,98,2008,219,1,98,30.0,33.33333333333333,42.016806722689076,1,0.7833333333333333
3,2,2,4,2,0.333,6,2,0,0,537402,2,6,2,0,2,21853,11,93,7,86,2008,1378,11,93,43.0,50.0,50.0,0,0.29069767441860467
1,2,7,7,4,0.476,21,10,1,1,552741,6,25,7,2,2,24271,30,103,9,106,2009,1627,9,106,38.833333333333336,57.14285714285714,58.30223880597014,0,0.9914163090128756
5,0,4,0,0,0.615,13,8,0,0,583340,4,16,5,2,0,24856,22,93,1,89,2010,219,1,89,28.0,61.53846153846154,61.53846153846154,1,1.2678571428571428
1,2,6,0,0,0.778,9,7,5,5,613724,5,19,7,0,1,26306,2,96,9,85,2011,1059,2,96,29.0,77.77777777777779,84.82142857142858,1,1.396551724137931
2,2,9,0,0,0.333,12,4,6,4,706498,1,12,15,0,5,31026,12,96,30,102,2013,179,30,102,36.0,33.33333333333333,40.98360655737705,6,1.3055555555555556
0,0,1,3,0,0.2,5,1,2,2,755903,2,4,1,0,1,32462,5,100,30,114,2015,426,5,100,20.516666666666666,20.0,34.01360544217687,0,0.0974817221770918
1,1,6,0,0,0.6,5,3,0,0,788768,2,6,7,0,0,33375,16,105,10,102,2016,2074,16,105,10.783333333333333,60.0,60.0,1,2.5502318392581147
1,0,0,0,0,0.421,19,8,7,6,908091,1,22,1,2,0,36920,11,98,10,84,1982,2312,10,84,30.0,42.10526315789473,49.81884057971015,1,0.55
1,1,1,0,0,0.286,14,4,2,2,908114,2,10,3,1,0,36654,9,109,21,118,1982,3069,9,109,22.0,28.57142857142857,33.60215053763441,2,0.5681818181818182
0,0,0,0,0,0.0,1,0,0,0,927725,3,0,0,0,3,42311,12,111,7,118,1983,2664,12,111,6.0,0.0,0.0,0,-0.6666666666666666
2,1,5,0,0,0.429,14,6,10,8,999230,3,20,11,0,2,43640,29,97,14,110,1986,2719,29,97,28.0,42.857142857142854,54.34782608695653,6,1.607142857142857
2,0,0,7,5,0.615,13,8,2,2,1130943,4,23,0,0,0,48769,8,103,16,87,2018,38,8,103,28.0,80.76923076923077,82.85302593659942,0,0.75
5,0,1,6,3,0.25,12,3,1,1,1130944,3,10,1,3,4,48769,8,103,16,87,2018,335,8,103,34.0,37.5,40.19292604501608,0,0.3088235294117647
0,0,3,4,0,0.25,8,2,2,1,4650006,2,5,3,0,1,264311,15,89,16,85,2020,485,15,89,19.0,25.0,28.15315315315315,0,0.3157894736842105
3,0,1,7,2,0.4,15,6,2,2,12602997,1,16,1,0,5,858036,25,95,23,105,2022,419,25,95,36.0,46.666666666666664,50.377833753148614,0,0.2638888888888889
1,0,1,0,0,0.889,9,8,1,1,965697,4,17,1,0,1,40641,14,132,9,119,1985,2990,14,132,17.0,88.88888888888889,90.04237288135593,0,1.1470588235294117
3,0,1,3,1,0.4,5,2,0,0,552769,1,5,1,1,1,24549,17,129,10,125,2009,1788,10,125,34.0,50.0,50.0,0,0.27941176470588236
7,0,4,3,0,0.286,7,2,0,0,690929,1,4,4,0,2,32155,5,86,18,95,2013,29,18,95,18.0,28.57142857142857,28.57142857142857,0,1.0833333333333333
5,0,12,0,0,0.375,24,9,2,2,690936,4,20,14,3,2,32155,5,86,18,95,2013,1410,5,86,37.0,37.5,40.19292604501608,2,1.5
0,2,5,3,1,0.375,8,3,7,6,723084,2,13,6,2,3,28638,10,126,26,101,2014,2001,26,101,33.8,43.75,58.664259927797836,1,0.7692307692307693
1,0,3,0,0,0.5,10,5,4,4,837906,4,14,3,1,1,34948,8,107,12,104,2017,406,12,104,14.433333333333334,50.0,59.523809523809526,0,1.3510392609699768
0,1,13,1,0,0.286,7,2,2,2,837943,2,6,13,0,2,33019,24,97,26,94,2017,97,24,97,27.3,28.57142857142857,38.07106598984772,0,1.4285714285714286
3,0,2,0,0,0.333,3,1,4,3,927660,2,5,2,1,1,41749,11,115,29,105,1983,2620,29,105,13.0,33.33333333333333,52.52100840336135,0,0.9615384615384616
1,0,1,0,0,0.727,11,8,5,4,999145,4,20,3,1,1,40330,12,85,2,108,1986,2870,2,108,28.0,72.72727272727273,75.75757575757575,2,0.9464285714285714
2,1,5,0,0,0.625,16,10,8,3,999167,5,23,7,0,8,40083,27,123,25,112,1986,507,25,112,35.0,62.5,58.91393442622951,2,0.8285714285714285
0,1,12,0,0,0.727,11,8,11,9,9928775,4,25,13,1,6,474150,11,110,25,125,2021,349,25,125,33.0,72.72727272727273,78.91414141414141,1,1.6666666666666667
0,0,1,1,1,1.0,2,2,0,0,12294384,5,5,2,0,0,857467,23,111,30,121,2022,450,23,111,28.0,125.0,125.0,1,0.39285714285714285
3,0,3,4,1,0.25,4,1,0,0,12724988,3,3,3,0,1,858316,2,129,20,131,2022,17896060,2,129,20.0,37.5,37.5,0,0.625
0,0,2,3,0,0.4,5,2,0,0,537454,0,4,3,0,0,22555,3,96,30,107,2008,1745,3,96,17.0,40.0,40.0,1,0.5882352941176471
0,0,1,0,0,0.0,1,0,0,0,552723,1,0,1,0,0,24167,6,107,29,103,2009,1783,29,103,4.0,0.0,0.0,0,0.5
3,2,4,0,0,0.273,11,3,0,0,583420,3,6,6,3,2,24857,19,101,13,82,2010,1481,19,101,30.0,27.27272727272727,27.27272727272727,2,0.7833333333333333
2,1,9,9,2,0.48,25,12,14,8,644482,4,34,14,2,3,31131,18,94,8,101,2012,285,18,94,34.85,52.0,54.557124518613605,5,1.721664275466284
1,0,1,1,0,0.333,12,4,2,2,660022,6,10,2,2,1,28140,2,71,5,69,2012,59,2,71,25.95,33.33333333333333,38.81987577639751,1,0.4046242774566474
3,0,0,1,0,0.143,7,1,0,0,690991,0,2,0,2,2,30400,25,81,15,98,2013,1486,25,81,19.0,14.285714285714285,14.285714285714285,0,0.02631578947368421
8,0,1,3,1,0.5,4,2,0,0,723132,1,5,1,1,0,28477,15,102,25,98,2014,1497,25,98,17.333333333333332,62.5,62.5,0,1.0961538461538463
1,0,3,1,0,0.0,7,0,2,2,755956,4,2,3,0,1,28904,9,99,27,109,2015,243,9,99,23.9,0.0,12.690355329949238,0,0.1882845188284519
2,0,6,2,1,0.571,7,4,0,0,788781,0,9,8,1,0,34203,1,105,13,115,2016,245,13,115,18.966666666666665,64.28571428571429,64.28571428571429,2,1.7926186291739894
2,0,8,4,1,0.5,12,6,2,1,821615,3,14,10,1,0,34676,3,98,22,95,2017,84,3,98,29.3,54.166666666666664,54.347826086956516,2,1.3993174061433447
0,2,6,5,1,0.429,7,3,2,1,837942,2,8,7,0,0,33019,24,97,26,94,2017,43,24,97,21.45,50.0,50.76142131979695,1,1.2121212121212122
