id,first_name,last_name,position,team_id
559,Scott,Brooks,,18
576,Tim,Hardaway,,10
798,Gary,Alexander,,16
1041,Derek,Fisher,,14
1213,Rasho,Nesterovic,,18
1221,Scott,Padgett,,29
1692,Adam,Morrison,,4
1760,Acie,Law,,1
2126,Sim,Bhullar,,26
2657,Bruce,Kuczenski,,3
2685,Cory,Blackwell,,21
2868,Jerry,Reynolds,,22
3057,Anthony,Mason,,8
3085,Adrian,Dantley,,17
666708,David,Kramer,G,24
372,Miles,Plumlee,C,15
17895728,Kyree,Walker,F,30
300,Yante,Maten,F,22
94,Tyson,Chandler,C,11
666459,Brian,Bowen II,F,18
17895834,Nate,Mason,G,24
46389676,Roger,Jorgensen,,44
46400726,Jeff,Slade,,30
46405427,George,Trapp,,1
46409560,Luther,Burden,,20
46400224,Jack,Foley,,20
46393996,Robert,Zawoluk,,49
17895983,Ayo,Dosunmu,G,5
46402272,John,Fairchild,,14
3547257,R.J.,Hampton,G,9
46403303,Mal,Graham,,2
17896056,Luka,Garza,C,18
38017682,Jaden,Ivey,G,9
38017691,TyTy,Washington Jr.,G,11
870,Andres,Guibert,,18
961,Jimmy,King,,28
1197,Earl,Boykins,,3
1468,T.J.,Ford,,17
2030,Ryan,Kelly,,14
2060,Sergey,Karasev,,6
2341,Eddie,Jordan,,3
2455,George,Johnson,,8
2757,Grant,Gondrezick,,24
2800,Dave,Henderson,,23
2802,Eddie,Hughes,,29
2946,Armen,Gilliam,,4
3021,Nate,McMillan,,21
17553954,Sedrick,Barefield,G,10
17553941,Micah,Potter,F-C,16
18030330,Kerry,Blackshear Jr.,C,18
666827,Tariq,Owens,F,7
309,Ben,McLemore,G,25
17896086,Oscar,da Silva,F,21
17896007,Braxton,Key,G,9
46390768,Arnie,Johnson,,26
46391403,Jimmy,Darden,,50
46395594,Dick,Ricketts,,26
46394012,Ralph,Polson,,10
44477024,Stanley,Umude,G,9
46397133,Worthy,Patterson,,1
447,Karl-Anthony,Towns,C,18
46403278,Dave,Bing,,9
46408551,Jerry,Baskerville,,23
17896070,Usman,Garuba,F,11
666,Tharon,Mayes,,23
740,Christian,Laettner,,18
873,Geert,Hammink,,22
880,Anthony,Miller,,14
925,Dwayne,Morton,,10
930,Jerome,Harmon,,23
989,Vincenzo,Esposito,,28
1196,Robert,Traylor,,17
2141,Cliff,Alexander,,25
2107,Grant,Jerrett,,9
2153,Coty,Clarke,,2
2191,Patricio,Garino,,22
2331,Terry,Duerod,,9
2374,Thomas,Wilson,,10
2913,Winston,Garland,,13
423,Jason,Smith,F-C,19
34,Jerryd,Bayless,G,18
50609,Dairis,Bertans,G,19
471,Thomas,Welsh,C,4
46389570,Johnny,Logan,,38
17553973,Kendall,Smith,G,10
50729,Michael,Frazier,G,24
400,Rajon,Rondo,G,6
16,Kostas,Antetokounmpo,F,5
46391930,Ken,Menke,,48
46405408,Dave,Wohl,,23
46392962,Art,Burris,,9
46397634,Alexander,Ellis,,14
38017676,MarJon,Beauchamp,F,17
46403321,Paul,Long,,9
38017689,AJ,Griffin,F,1
635,Rodney,McCray,,7
841,Greg,Graham,,23
877,Donyell,Marshall,,18
1007,Cuonzo,Martin,,15
1278,Lavor,Postell,,20
1346,Richard,Jefferson,,3
1463,Paul,Shirley,,1
1605,Matt,Walsh,,16
1836,DJ,White,,21
2061,Ray,McCallum,,26
2149,Chris,McCullough,,3
2174,Maurice,Ndour,,20
2195,Alec,Peters,,24
2242,Swen,Nater,,13
2265,Rick,Barry,,11
2309,Kevin,Kunnert,,25
2412,Kevin,Restani,,27
2616,Eddie,Phillips,,3
2763,Dwayne,Polee,,13
2835,Dyron,Nix,,12
2857,Brian,Shaw,,2
3047,Morlon,Wiley,,22
3074,John,Williams,,30
258,Brandon,Knight,G,7
118,Ed,Davis,C,6
146,James,Ennis III,F,8
46389680,Ossie,Schectman,,20
46390806,Joe,Colone,,20
46395067,Ed,Kalafat,,14
46405459,Odis,Allison,,10
47957121,Justin,Minaya,F,25
46403283,Toby,Kimball,,2
1047,Emanual,Davis,,11
1179,Michael,Olowokandi,,13
1432,Igor,Rakocevic,,18
2144,Rakeem,Christmas,,12
3020,Tony,Smith,,14
4196966,Ilkan,Karaman,F,17
46389577,Herschel,Baltimore,,38
255,Michael,Kidd-Gilchrist,F,7
465,Kemba,Walker,G,7
4197307,Marcos,Louzada Silva,G,25
46394520,Moe,Radovich,,10
46398161,Joe,Ruklick,,10
46405412,Jimmy,Collins,,5
46405418,Joe,Thomas,,24
46400229,Dan,Tieman,,26
379,Dwight,Powell,F-C,7
666508,Nicolas,Claxton,F-C,3
46411085,Larry,Johnson,,13
513,Joe,Dumars,,9
578,Darrell,Walker,,30
1053,Nate,Driggers,,2
1353,Alton,Ford,,24
1937,Josh,Selby,,15
2180,Chinanu,Onuaku,,11
24102396,Trevon,Scott,F,6
2504,Lorenzo,Romar,,10
2648,Corny,Thompson,,7
2740,Harold,Keeling,,7
2007,John,Jenkins,,20
346,Dirk,Nowitzki,F,7
17895990,Jordan,Ford,G,13
17895998,Devonte,Patterson,F,7
91,Willie,Cauley-Stein,C,11
666641,Jaylen,Hoard,F,21
46396108,Joe,Holup,,23
46405426,Levi,Fontaine,,10
46429880,Makhtar,N'diaye,,15
46409586,Eugene,Kennedy,,11
217,Richaun,Holmes,F-C,26
452,Myles,Turner,C-F,12
523,Roy,Tarpley,,7
601,Tod,Murphy,,18
725,Anthony,Avent,,17
820,Calbert,Cheaney,,30
834,Allan,Houston,,9
917,Clifford,Rozier,,10
1030,Priest,Lauderdale,,1
1080,Jimmy,Carruth,,17
1148,Reggie,Hanson,,2
1905,Greivis,Vasquez,,15
2765,Adrian,Branch,,14
2811,Anthony,Taylor,,16
2828,Robert,Rose,,13
2908,Jeff,Martin,,13
292,Daryl,Macon,G,16
4196866,Brad,Newley,G,14
17895791,Terry,Henderson,G,12
666611,Donta,Hall,F,22
3547303,Will,Magnay,C,19
46400745,Tom,Thacker,,26
338,Svi,Mykhailiuk,G,4
448,Gary,Trent Jr.,G,25
935,Cherokee,Parks,,7
1079,Horacio,Llamas,,24
1295,Darius,Miles,G,13
1313,Jerome,Moiso,,2
1633,Aaron,Miles,,10
1839,David,Andersen,,11
1918,Marcus,Cousin,,29
2228,Trey,McKinney-Jones,,12
2281,Eric,Money,,23
2333,Billy,Knight,,12
2396,Anthony,Roberts,,8
2456,Allen,Leavell,,11
2933,Scottie,Pippen,,5
