ast,blk,dreb,fg3a,fg3m,fg_pct,fga,fgm,fta,ftm,id,pf,pts,reb,stl,turnover,game_id,home_team_id,home_team_score,visitor_team_id,visitor_team_score,season,player_id,team_id,team_score,min_played,eFG%,TS%,oreb,PER
4,0,1,2,0,0.25,4,1,4,4,443774,2,6,1,0,1,18424,5,91,6,92,2005,1564,5,91,16.85,25.0,52.083333333333336,0,0.6528189910979227
4,0,2,0,0,0.5,6,3,2,1,444166,5,7,2,3,2,20553,28,111,2,105,2005,1624,2,105,36.0,50.0,50.872093023255815,0,0.4444444444444444
2,1,4,6,1,0.385,13,5,2,2,444442,1,13,5,0,2,20798,19,88,24,101,2005,1534,19,88,29.2,42.30769230769231,46.829971181556196,1,0.7534246575342465
5,2,17,0,0,0.353,17,6,6,3,444534,2,15,21,4,3,19916,18,87,11,93,2005,971,18,87,39.0,35.294117647058826,38.187372708757636,4,1.9102564102564101
2,0,4,0,0,0.5,2,1,4,3,452874,2,5,9,0,0,19326,3,88,12,90,2005,1241,12,90,28.0,50.0,66.48936170212765,5,1.1785714285714286
4,1,1,14,6,0.304,23,7,7,7,459923,5,27,2,1,1,20608,14,105,17,109,2006,1043,14,105,41.06666666666667,43.47826086956522,51.7638036809816,1,0.5844155844155844
2,1,5,0,0,0.222,9,2,0,0,466572,1,4,7,0,0,18312,30,116,13,105,2006,1540,13,105,26.0,22.22222222222222,22.22222222222222,2,0.8461538461538463
2,1,9,6,1,0.5,16,8,2,1,468882,3,18,9,3,3,20301,18,98,9,104,2006,948,9,104,44.21666666666667,53.125,53.317535545023695,0,0.9046362608367885
1,1,5,0,0,1.0,6,6,2,1,475483,4,13,6,1,3,19119,13,96,21,91,2006,1422,21,91,34.0,100.0,94.47674418604652,1,0.8970588235294118
1,2,4,1,0,0.0,3,0,6,6,480078,6,6,5,2,2,21100,29,103,30,97,2006,1352,29,103,26.233333333333334,0.0,53.191489361702125,1,0.8195679796696316
2,1,5,2,0,0.429,14,6,10,4,480080,3,16,5,2,0,21100,29,103,30,97,2006,1417,29,103,32.13333333333333,42.857142857142854,43.47826086956522,0,0.7157676348547718
9,1,5,1,0,0.625,8,5,0,0,492345,1,10,7,1,3,21259,29,110,16,101,2007,1352,29,110,38.0,62.5,62.5,2,1.0657894736842104
2,2,0,1,0,0.333,6,2,1,0,495635,0,4,1,0,0,23573,7,102,13,89,2007,1540,13,89,18.866666666666667,33.33333333333333,31.05590062111801,1,0.3710247349823322
6,0,2,2,1,0.4,5,2,0,0,499000,1,5,3,0,1,22790,23,97,5,100,2007,1564,5,100,32.0,50.0,50.0,1,0.59375
5,0,1,1,0,0.5,20,10,8,6,505654,3,26,2,2,3,21293,10,110,1,117,2007,1635,10,110,45.93333333333333,50.0,55.27210884353742,1,0.576923076923077
1,1,4,4,1,0.692,13,9,5,3,508973,4,22,6,1,4,23169,27,107,8,103,2007,424,8,103,28.583333333333332,73.07692307692307,72.36842105263158,2,1.1720116618075802
2,1,3,1,0,0.643,14,9,0,0,509060,2,18,3,0,1,23170,24,132,15,111,2007,1442,24,132,31.0,64.28571428571429,64.28571428571429,0,0.8064516129032258
3,0,4,0,0,0.9,10,9,2,1,542219,2,19,6,0,6,22276,13,123,30,108,2008,1499,13,123,21.0,90.0,87.31617647058823,2,1.5952380952380951
1,2,7,1,0,0.167,6,1,0,0,551178,4,2,9,0,2,24262,18,72,17,87,2009,1748,18,72,25.0,16.666666666666664,16.666666666666664,2,1.02
0,0,2,5,3,0.462,13,6,2,1,560043,3,16,4,1,2,24201,18,101,30,89,2009,1677,30,89,32.083333333333336,57.692307692307686,57.636887608069166,2,0.5922077922077922
10,0,4,7,3,0.429,28,12,16,12,564485,5,39,6,0,3,26062,10,118,8,123,2009,1635,10,118,53.0,48.214285714285715,55.65068493150685,2,0.9245283018867925
2,3,3,2,1,0.625,8,5,2,0,575578,2,11,6,2,1,26103,12,122,29,106,2009,1782,12,122,27.516666666666666,68.75,61.936936936936924,3,1.1265899454875834
2,2,7,0,0,0.478,23,11,9,7,581007,5,29,11,0,3,26554,14,112,11,110,2010,170,14,112,40.0,47.82608695652174,53.7833827893175,4,1.25
0,0,1,6,3,0.5,10,5,1,0,581105,1,13,2,0,0,26555,3,101,9,98,2010,1823,3,101,37.35,65.0,62.26053639846744,1,0.34805890227576974
0,0,1,4,1,0.333,6,2,0,0,586626,1,5,1,0,0,26124,8,98,5,97,2010,1507,5,97,19.0,41.66666666666667,41.66666666666667,0,0.21052631578947367
0,1,1,0,0,0.5,2,1,6,2,613901,4,4,4,1,2,26653,16,118,12,83,2011,1735,12,83,12.0,50.0,43.103448275862064,3,0.9166666666666666
1,2,7,0,0,0.2,5,1,0,0,630604,2,2,11,0,3,28534,28,96,20,79,2011,94,20,79,32.0,20.0,20.0,4,0.984375
1,1,3,0,0,1.0,3,3,0,0,650719,1,6,3,1,0,31292,14,100,20,94,2012,978,20,94,13.0,100.0,100.0,0,1.4230769230769231
0,0,1,0,0,1.0,1,1,0,0,670879,0,2,1,0,0,29923,11,121,26,100,2012,1597,11,121,12.0,100.0,100.0,0,0.41666666666666663
1,1,4,2,1,0.7,10,7,0,0,728695,4,15,5,1,1,28505,19,100,28,97,2014,242,28,97,35.0,75.0,75.0,1,0.8428571428571429
0,0,0,1,1,1.0,2,2,0,0,736392,1,5,0,0,1,31054,4,102,9,78,2014,116,4,102,2.0,125.0,125.0,0,2.0
4,0,3,6,3,0.556,9,5,1,1,744136,2,14,4,3,0,29836,16,101,14,88,2015,124,16,101,29.616666666666667,72.22222222222221,74.15254237288136,1,1.0467079347214405
0,1,0,6,2,0.273,11,3,6,6,759664,4,14,1,0,2,32048,7,91,24,78,2015,2015,24,78,20.583333333333332,36.36363636363637,51.31964809384164,1,0.38866396761133604
